stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
123,52013,"N George Mason Drive, NB @ 27th Street N, NS",38.901183,-77.135728,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52013#realTimeResultsContainer"
124,52014,"Yorktown Blvd, WB @ N Edison Street, NS",38.903021,-77.136861,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52014#realTimeResultsContainer"
125,52015,"Yorktown Blvd, WB @ 30th Street N, NS",38.903553,-77.139189,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52015#realTimeResultsContainer"
126,52016,"Yorktown Blvd, WB @ Little Falls Road, NS",38.903995,-77.141338,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52016#realTimeResultsContainer"
127,52017,"Yorktown Blvd, WB @ N Harrison Drive, FS",38.903939,-77.144780,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52017#realTimeResultsContainer"
128,52018,"Little Falls Road, WB @ N John Marshall Drive, NS",38.901976,-77.149028,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52018#realTimeResultsContainer"
129,52019,"Little Falls Road, WB @ N Ohio Street, FS",38.901090,-77.152507,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52019#realTimeResultsContainer"
130,52020,"Little Falls Road, WB @ Williamsburg Blvd, NS",38.900944,-77.155607,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52020#realTimeResultsContainer"
131,52021,"Williamsburg Blvd, SB @ N Powhatan Street, FS",38.900581,-77.156718,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52021#realTimeResultsContainer"
132,52022,"Williamsburg Blvd, SB @ N Rochester Street, FS",38.899135,-77.160237,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52022#realTimeResultsContainer"
133,52024,"N Trindad Street, SB @ Williamsburg Blvd, FS",38.897187,-77.162273,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52024#realTimeResultsContainer"
134,52025,"N Trindad Street, SB @ Little Falls Road, FS",38.896049,-77.160611,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52025#realTimeResultsContainer"
135,52026,"26th Street N, EB @ N Sycamore Street, NS",38.894392,-77.157834,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52026#realTimeResultsContainer"
136,52027,"N Sycamore Street, SB @ Lee Highway, FS",38.889853,-77.156524,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52027#realTimeResultsContainer"
137,52028,"N Sycamore Street, SB @ Washington Blvd, FS",38.888168,-77.156449,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52028#realTimeResultsContainer"
138,52029,"East Falls Church Metro, Sycamore Street @ Bay A",38.886727,-77.156790,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52029#realTimeResultsContainer"
140,52202,"N Sycamore Street, NB @ Washington Blvd, FS",38.887912,-77.156185,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52202#realTimeResultsContainer"
141,52203,"N Sycamore Street, NB @ 24th Street N, NS",38.891168,-77.156420,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52203#realTimeResultsContainer"
143,52205,"N Trindad Street, NB @ Williamsburg Blvd, NS",38.897235,-77.162083,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52205#realTimeResultsContainer"
144,52206,"N Trindad Street, NB @ Little Falls Road, NS",38.896164,-77.160510,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52206#realTimeResultsContainer"
145,52207,"Williamsburg Blvd, NB @ N Rochester Street, NS",38.898986,-77.160087,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52207#realTimeResultsContainer"
146,52208,"Williamsburg Blvd, NB @ N Sycamore Street, NS",38.899871,-77.157030,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52208#realTimeResultsContainer"
147,52210,"Little Falls Road, EB @ Williamsburg Blvd, FS",38.900612,-77.154497,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52210#realTimeResultsContainer"
148,52211,"Little Falls Road, EB @ N Ohio Street, FS",38.900996,-77.151986,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52211#realTimeResultsContainer"
149,52212,"Little Falls Road, EB @ N Lexington Street, NS",38.901943,-77.148652,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52212#realTimeResultsContainer"
150,52213,"Yorktown Blvd, EB @ N Harrison Drive, NS",38.903735,-77.144801,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52213#realTimeResultsContainer"
151,52214,"Yorktown Blvd, EB @ N Greenbrier Street, FS",38.903839,-77.141537,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52214#realTimeResultsContainer"
152,52215,"Yorktown Blvd, EB @ 30th Street N, NS",38.903370,-77.139186,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52215#realTimeResultsContainer"
153,52216,"Yorktown Blvd, EB @ N Edison Street, FS",38.902875,-77.136924,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52216#realTimeResultsContainer"
154,52217,"N George Mason Drive, SB @ 27th Street N, NS",38.901566,-77.136156,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52217#realTimeResultsContainer"
155,52218,"N George Mason Drive, SB @ 26th Street N, NS",38.900150,-77.135734,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52218#realTimeResultsContainer"
156,52219,"N George Mason Drive, SB @ 25th Road N, NS",38.898968,-77.134675,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52219#realTimeResultsContainer"
157,52220,"N George Mason Drive, SB @ 16th Street N, NS",38.887832,-77.128342,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A52220#realTimeResultsContainer"
