stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
82bdffec-462f-4848-bfcd-04a045d5649d,1516,"Harding/Patrick Henry Wbnd","216",37.23772,-80.40599,,,0,,,
d3fbc855-375a-4137-b700-df8f3627028d,1517,"Harding/Cork Wbnd","218",37.2358,-80.4083,,,0,,,
8bd6ae97-96f0-4f20-a8ad-71d5f3bbd65f,1518,"Roanoke/Woolwine Wbnd","219",37.23255,-80.40917,,,0,,,
2963d344-6b86-4fda-99a0-c007e942d9f2,1519,"Roanoke/Rutledge Wbnd","220",37.23177,-80.41032,,,0,,,
26876821-310e-4f10-a6c9-0af6d204e79f,1520,"Roanoke/Wharton Wbnd","221",37.23114,-80.41126,,,0,,,
dcf13528-deca-4cce-a30b-bb85dc7cbd65,1504,"Harding/Owens Ebnd","204",37.23549,-80.40858,,,0,,,
4d932452-7f92-4499-be18-a852c89355f5,1512,"Ascot/Harding Wbnd","212",37.24146,-80.39902,,,0,,,
e4a49c76-4c46-4fd8-a3bb-a6a95b95e2b2,1411,"Main/Red Maple Nbnd","112",37.25313,-80.41092,,,0,,,
19d9ccf1-82fa-4578-9032-e4717eea5801,9004,"Red Maple/October Glory","",37.25424,-80.40937,,,0,,,
2ed2070e-5d5e-4f1d-a1d3-38f7ef31ffa9,1414,"Pheasant Run","117",37.24905,-80.41699,,,0,,,
de5718f0-e1bc-4725-b73a-bee43172c017,1415,"Seneca/Patrick Henry Sbnd","118",37.24742,-80.41756,,,0,,,
2c7f837e-5275-4188-ba2d-551f665044e1,1416,"Main/Patrick Henry Sbnd","119",37.24598,-80.41511,,,0,,,
638424b6-f387-48f1-9f6f-ff4253cb0f54,1418,"Main/Northview Sbnd","121",37.24153,-80.41831,,,0,,,
df60fcbb-b47d-4a5f-9582-7bf54ab87666,1419,"Main/Lucas Sbnd","122",37.24016,-80.41929,,,0,,,
c48b34f3-973a-486a-878e-b52f647ece9f,1429,"1500 North Main Sbnd","172",37.2495,-80.41262,,,0,,,
1d582431-4e6a-42d3-9147-9227c76a1ae0,1420,"Main/Montgomery Sbnd","123",37.23891,-80.42007,,,0,,,
a2571776-2bfe-4ea4-bd40-5c5538c6dd4e,1421,"Main/Kabrich Sbnd","124",37.236,-80.42107,,,0,,,
e1522135-c8ba-4d14-a8e6-b36b5d25966e,1422,"Main/Collegiate Ct Sbnd","125",37.2343,-80.41953,,,0,,,
fd9dae9a-d5d7-49b6-bfdc-8d376308f41e,1423,"Main/Turner Sbnd","126",37.23323,-80.41813,,,0,,,
597fc811-c35e-49ce-b7d8-a58619b2315b,1430,"Patrick Henry/Seneca Wbnd","901",37.24693,-80.4169,,,0,,,
99f684d5-ecc3-4ce5-bd11-f147b6052bbf,1403,"Lucas/Giles Ebnd","103",37.2393,-80.41671,,,0,,,
5246ec10-174e-4caa-bb89-e31bcf397159,1404,"Giles/Northview Nbnd","104",37.24095,-80.41624,,,0,,,
73757e0a-1f63-4575-9c66-4c11bf03fbb4,1405,"Giles/Heights Nbnd","105",37.2429,-80.41447,,,0,,,
395b778c-5d74-4335-a62d-cc5b0925649f,1406,"Giles/Patrick Henry Nbnd","106",37.24497,-80.41223,,,0,,,
a02398c1-0688-42d0-9fdf-fb7d676be5ac,1431,"Main/Turner Nbnd","",37.23394,-80.41904,,,0,,,
7253b06b-07a4-4c2e-8789-e03975dccaca,1400,"Main/Montgomery Nbnd","100",37.23806,-80.42051,,,0,,,
6c325553-4db9-48b7-92dc-5f86478b4302,1401,"Main/Lucas Nbnd S","101",37.23912,-80.41995,,,0,,,
6674f7a2-3d01-4c9f-b4bd-17ff6e471178,1402,"Lucas/Main Ebnd","102",37.23966,-80.41841,,,0,,,
a0c08f92-ed60-4f59-aae5-9c2d6093a446,1407,"Patrick Henry/Giles Wbnd","107",37.24532,-80.41287,,,0,,,
0c59ac45-c194-40e1-985e-2008a469da8e,1408,"Patrick Henry/Main Wbnd","108",37.24607,-80.41435,,,0,,,
04f69498-1f05-416f-955f-f1286b507c02,1409,"1500 North Main Nbnd","110",37.2491,-80.41291,,,0,,,
431d1487-0241-4c6f-a0e8-2f920516d7a8,1410,"Main/Giles Nbnd","111",37.25099,-80.4116,,,0,,,
e098b0c6-95f1-48fc-ba3a-bec9b8ee891a,1417,"1200 North Main Sbnd","120",37.24327,-80.4171,,,0,,,
51219c9f-d58a-4840-9c31-5d126b4f9215,9003,"Main/Whipple Sbnd","",37.25085,-80.41171,,,0,,,
0d2e409b-4cb5-4f68-ac55-469290a35d6e,1710,"Kraft/Research Ctr Ebnd","800",37.19897,-80.40543,,,0,,,
67e4ca87-462a-4dbb-a6b5-1e22ed958de5,1714,"Kraft/Knowledgeworks 1 Bldg Sbnd","822",37.20018,-80.40786,,,0,,,
bc3c1580-79a7-48b9-80e1-683c674e96c1,1701,"Pratt Dr/Garvin Bldg Sbnd","735",37.20168,-80.41176,,,0,,,
2222092a-9fc9-42cd-a9cf-8eb4944c2fd0,1129,"Coliseum Parking Lot Sbnd","742",37.22221,-80.41988,,,0,,,
fda196f8-3857-4d5d-ac07-ecefff7ca7b1,1127,"Lane Stadium S Endzone Sbnd","733",37.21847,-80.41929,,,0,,,
c63dee63-54d7-4b24-acc1-f61eeca23c1c,1700,"Rec Fields Sbnd","734",37.21483,-80.41841,,,0,,,
d33774ee-f7ae-4ea3-96f9-b3992ba21c4e,1702,"Pratt/Kraft Ebnd","736",37.20109,-80.41074,,,0,,,
acf28473-6a73-45e4-ae6c-e37073c97587,1705,"Pratt Dr/Andrews Bldg Sbnd","746",37.204,-80.41244,,,0,,,
96de73cc-6ca4-4ba8-88c2-073f26d36fa2,1340,"Progress/Watson Sbnd","",37.23892,-80.4221,,,0,,,
1ae0f160-5e71-4f47-8e2a-fed0a5b0c179,1320,"Shawnee on University City Ebnd","404",37.24234,-80.43291,,,0,,,
59bc5199-95ef-42f8-87e9-74e759891653,1321,"University City/Falcon Ebnd","405",37.24274,-80.43064,,,0,,,
da7849c4-bb52-483d-a848-4610c6545561,1322,"University City/Toms Creek Ebnd","406",37.243,-80.42957,,,0,,,
687a424a-d9e2-4e1e-8ba6-85b150ca0151,1317,"University City/Glade Nbnd","401",37.23629,-80.43427,,,0,,,
8f07c060-311e-4cfb-904d-5c313f09d5e0,1318,"University City/Broce Nbnd","402",37.23792,-80.43517,,,0,,,
69177a3f-9a6d-406d-bebe-b834f2dd832a,1324,"The Village on Patrick Henry Ebnd","408",37.24511,-80.42473,,,0,,,
1b306367-c374-4313-8656-dd0946c35029,1316,"University Mall Nbnd","400",37.2346,-80.43336,,,0,,,
2cfeba3f-0935-448c-be97-00d9f5844c33,1325,"Patrick Henry/Progress Ebnd","409",37.24579,-80.42284,,,0,,,
d34414ec-c659-46b4-87ae-aace2122808c,1326,"Progress/Hunt Club Sbnd","410",37.24487,-80.42144,,,0,,,
3be0ccb7-5e6c-4dea-88cd-ff58bc99428e,1327,"Progress/University Terr Sbnd","411",37.2435,-80.42187,,,0,,,
f8decfad-0526-4b66-86af-836fb98bbbc2,1328,"Progress/Broce Sbnd","412",37.24234,-80.42226,,,0,,,
8408eb6d-352f-44d6-beab-44c0690d6dd8,1319,"Shawnee on University City Nbnd","403",37.2414,-80.43498,,,0,,,
379f938a-d516-4a2c-b57d-d0478a27187b,1323,"Patrick Henry/Toms Creek Ebnd","407",37.24405,-80.42759,,,0,,,
97b36c8a-37fa-4384-b20d-ff2fba94ac0e,1706,"Kraft/Tech Center Dr Sbnd","760",37.20427,-80.40992,,,0,,,
089d6b22-dc83-4ee6-98d6-6642954568b1,1715,"Kraft/Moss Bldg Sbnd","823",37.20186,-80.40981,,,0,,,
9a765408-4ef7-45e0-a58b-47e9392ba8ed,1707,"Pratt/Kraft Wbnd","761",37.20114,-80.41065,,,0,,,
7cb77ae6-bac6-4299-843a-43034b3071a5,1708,"Pratt Dr/Garvin Bldg Nbnd","762",37.2017,-80.41171,,,0,,,
11708d7c-8782-4395-ae97-9af452075428,1709,"Pratt Dr/Andrews Bldg Nbnd","763",37.20369,-80.41241,,,0,,,
509ac9d0-8295-4b62-b44e-86be37630c7f,1128,"Lane Stadium S Endzone Nbnd","741",37.21852,-80.41926,,,0,,,
dd25419b-ebb0-4097-a8b4-31e1bc926468,1716,"Research Ctr/S Knollwood Nbnd","824",37.19998,-80.40532,,,0,,,
a67af48a-24f2-4944-8b48-3768a37a3b97,1713,"Research Ctr/N Knollwood Nbnd","817",37.20264,-80.40584,,,0,,,
059dc1e4-a3b7-40ed-9c0c-d0b6b8aa51ed,1703,"Airport","737",37.20528,-80.40851,,,0,,,
39451bbb-cd27-4a5f-b850-e3c2d5a8bd0e,1704,"Rec Fields Nbnd","740",37.21574,-80.41868,,,0,,,
96190a97-79f5-4cf8-b61f-fb7c03eb08be,1412,"Givens/Main Wbnd","113",37.25608,-80.41147,,,0,,,
4e65d911-4cf4-42b3-98e1-a05e9ede4aa7,1424,"Main/Lucas Nbnd N","167",37.2403,-80.41919,,,0,,,
6e192e6d-cbf2-46ab-af27-ee45430c30f7,1425,"Main/Northview Nbnd","168",37.24192,-80.41804,,,0,,,
00176e1f-b868-4163-84f6-2570b182977d,1426,"1200 North Main Nbnd","169",37.24327,-80.41707,,,0,,,
f9bcd4b5-83b7-4d00-98c6-e0e1cfd10992,1427,"Main/Patrick Henry Nbnd","170",37.24598,-80.41511,,,0,,,
9ceb64fe-56c4-4959-be15-0a802726d2a5,1803,"LewisGale Hospital Montgomery","802",37.18746,-80.4105,,,0,,,
30e108a6-4e2a-4acd-96c4-a66277d88c48,1433,"Patrick Henry/Mary Jane Ebnd West","",37.24677,-80.41946,,,0,,,
e408bfe3-c384-4c43-a1c9-e84de504fe77,1434,"Patrick Henry/Seneca Ebnd","",37.24692,-80.41652,,,0,,,
3ac019ac-dbad-41ed-921b-673e9409c61a,1641,"Fairfax Circle","",37.20752,-80.39388,,,0,,,
e5da9754-3d24-45cd-9a0f-471c06a3393e,1634,"Fairfax/Ellett Wbnd","165",37.20869,-80.39674,,,0,,,
592b96a7-b471-40d3-ade7-8428bbc28236,1711,"Research Ctr/Rimrock Sbnd","",37.19608,-80.40395,,,0,,,
b8b1012b-fe61-40e9-a6ca-f938d0476e03,1645,"Professional Park Sbnd","818",37.19679,-80.40028,,,0,,,
